TargetType,TargetMeth,Method,NWEEKS,r,fsval,Fold,TP,BFP,TP1,TP2,BFP1,BFP2
S,D,A,1,r,0.2,1,0.4267241379310345,0.05387931034482759,0.1896551724137931,0.6637931034482759,0.008620689655172414,0.09913793103448276
S,D,A,1,r,0.2,2,0.4413145539906103,0.03286384976525822,0.22065727699530516,0.6619718309859155,0.009389671361502348,0.056338028169014086
S,D,A,1,r,0.2,3,0.41509433962264153,0.018867924528301886,0.15566037735849056,0.6745283018867925,0.0047169811320754715,0.0330188679245283
S,D,A,1,r,0.2,4,0.4375,0.03935185185185185,0.21296296296296297,0.6620370370370371,0.009259259259259259,0.06944444444444445
S,D,A,1,r,0.2,5,0.4059633027522936,0.02981651376146789,0.17889908256880735,0.6330275229357798,0.0,0.05963302752293578
S,D,A,1,r,0.3,1,0.4267241379310345,0.05387931034482759,0.1896551724137931,0.6637931034482759,0.008620689655172414,0.09913793103448276
S,D,A,1,r,0.3,2,0.4413145539906103,0.03286384976525822,0.22065727699530516,0.6619718309859155,0.009389671361502348,0.056338028169014086
S,D,A,1,r,0.3,3,0.41509433962264153,0.018867924528301886,0.15566037735849056,0.6745283018867925,0.0047169811320754715,0.0330188679245283
S,D,A,1,r,0.3,4,0.4375,0.03935185185185185,0.21296296296296297,0.6620370370370371,0.009259259259259259,0.06944444444444445
S,D,A,1,r,0.3,5,0.4059633027522936,0.02981651376146789,0.17889908256880735,0.6330275229357798,0.0,0.05963302752293578
S,D,A,1,r,0.4,1,0.4267241379310345,0.05387931034482759,0.1896551724137931,0.6637931034482759,0.008620689655172414,0.09913793103448276
S,D,A,1,r,0.4,2,0.4413145539906103,0.03286384976525822,0.22065727699530516,0.6619718309859155,0.009389671361502348,0.056338028169014086
S,D,A,1,r,0.4,3,0.41509433962264153,0.018867924528301886,0.15566037735849056,0.6745283018867925,0.0047169811320754715,0.0330188679245283
S,D,A,1,r,0.4,4,0.4375,0.03935185185185185,0.21296296296296297,0.6620370370370371,0.009259259259259259,0.06944444444444445
S,D,A,1,r,0.4,5,0.4059633027522936,0.02981651376146789,0.17889908256880735,0.6330275229357798,0.0,0.05963302752293578
S,D,A,1,r2,0.2,1,0.4267241379310345,0.05387931034482759,0.1896551724137931,0.6637931034482759,0.008620689655172414,0.09913793103448276
S,D,A,1,r2,0.2,2,0.4413145539906103,0.03286384976525822,0.22065727699530516,0.6619718309859155,0.009389671361502348,0.056338028169014086
S,D,A,1,r2,0.2,3,0.41509433962264153,0.018867924528301886,0.15566037735849056,0.6745283018867925,0.0047169811320754715,0.0330188679245283
S,D,A,1,r2,0.2,4,0.4375,0.03935185185185185,0.21296296296296297,0.6620370370370371,0.009259259259259259,0.06944444444444445
S,D,A,1,r2,0.2,5,0.4059633027522936,0.02981651376146789,0.17889908256880735,0.6330275229357798,0.0,0.05963302752293578
S,D,A,1,r2,0.3,1,0.4267241379310345,0.05387931034482759,0.1896551724137931,0.6637931034482759,0.008620689655172414,0.09913793103448276
S,D,A,1,r2,0.3,2,0.4413145539906103,0.03286384976525822,0.22065727699530516,0.6619718309859155,0.009389671361502348,0.056338028169014086
S,D,A,1,r2,0.3,3,0.41509433962264153,0.018867924528301886,0.15566037735849056,0.6745283018867925,0.0047169811320754715,0.0330188679245283
S,D,A,1,r2,0.3,4,0.4375,0.03935185185185185,0.21296296296296297,0.6620370370370371,0.009259259259259259,0.06944444444444445
S,D,A,1,r2,0.3,5,0.4059633027522936,0.02981651376146789,0.17889908256880735,0.6330275229357798,0.0,0.05963302752293578
