TargetType,TargetMeth,Method,NWEEKS,r,fsval,Fold,TP,BFP,TP1,TP2,BFP1,BFP2
Q,D,A,4,r2,0.2,3,,,,,,
Q,D,A,4,r2,0.2,4,,,,,,
Q,D,A,4,r2,0.2,5,,,,,,
Q,D,A,4,r2,0.3,1,,,,,,
Q,D,A,4,r2,0.3,2,,,,,,
Q,D,A,4,r2,0.3,3,,,,,,
Q,D,A,4,r2,0.3,4,,,,,,
Q,D,A,4,r2,0.3,5,,,,,,
Q,D,A,4,r2,0.4,1,,,,,,
Q,D,A,4,r2,0.4,2,,,,,,
Q,D,A,4,r2,0.4,3,,,,,,
Q,D,A,4,r2,0.4,4,,,,,,
Q,D,A,4,r2,0.4,5,,,,,,
Q,D,A,4,1,0.2,1,,,,,,
Q,D,A,4,1,0.2,2,,,,,,
Q,D,A,4,1,0.2,3,,,,,,
Q,D,A,4,1,0.2,4,,,,,,
Q,D,A,4,1,0.2,5,,,,,,
Q,D,A,4,1,0.3,1,,,,,,
Q,D,A,4,1,0.3,2,,,,,,
Q,D,A,4,1,0.3,3,,,,,,
Q,D,A,4,1,0.3,4,,,,,,
Q,D,A,4,1,0.3,5,,,,,,
Q,D,A,4,1,0.4,1,,,,,,
Q,D,A,4,1,0.4,2,,,,,,
Q,D,A,4,1,0.4,3,,,,,,
Q,D,A,4,1,0.4,4,,,,,,
Q,D,A,4,1,0.4,5,,,,,,
Q,D,A,5,r,0.2,1,,,,,,
Q,D,A,5,r,0.2,2,,,,,,
Q,D,A,5,r,0.2,3,,,,,,
Q,D,A,5,r,0.2,4,,,,,,
Q,D,A,5,r,0.2,5,,,,,,
Q,D,A,5,r,0.3,1,,,,,,
Q,D,A,5,r,0.3,2,,,,,,
Q,D,A,5,r,0.3,3,,,,,,
Q,D,A,5,r,0.3,4,,,,,,
Q,D,A,5,r,0.3,5,,,,,,
Q,D,A,5,r,0.4,1,,,,,,
Q,D,A,5,r,0.4,2,,,,,,
Q,D,A,5,r,0.4,3,,,,,,
Q,D,A,5,r,0.4,4,,,,,,
Q,D,A,5,r,0.4,5,,,,,,
Q,D,A,5,r2,0.2,1,,,,,,
Q,D,A,5,r2,0.2,2,,,,,,
Q,D,A,5,r2,0.2,3,,,,,,
Q,D,A,5,r2,0.2,4,,,,,,
Q,D,A,5,r2,0.2,5,,,,,,
Q,D,A,5,r2,0.3,1,,,,,,
Q,D,A,5,r2,0.3,2,,,,,,
Q,D,A,5,r2,0.3,3,,,,,,
Q,D,A,5,r2,0.3,4,,,,,,
Q,D,A,5,r2,0.3,5,,,,,,
Q,D,A,5,r2,0.4,1,,,,,,
Q,D,A,5,r2,0.4,2,,,,,,
Q,D,A,5,r2,0.4,3,,,,,,
Q,D,A,5,r2,0.4,4,,,,,,
Q,D,A,5,r2,0.4,5,,,,,,
Q,D,A,5,1,0.2,1,,,,,,
Q,D,A,5,1,0.2,2,,,,,,
Q,D,A,5,1,0.2,3,,,,,,
Q,D,A,5,1,0.2,4,,,,,,
Q,D,A,5,1,0.2,5,,,,,,
Q,D,A,5,1,0.3,1,,,,,,
Q,D,A,5,1,0.3,2,,,,,,
Q,D,A,5,1,0.3,3,,,,,,
Q,D,A,5,1,0.3,4,,,,,,
Q,D,A,5,1,0.3,5,,,,,,
Q,D,A,5,1,0.4,1,,,,,,
Q,D,A,5,1,0.4,2,,,,,,
Q,D,A,5,1,0.4,3,,,,,,
Q,D,A,5,1,0.4,4,,,,,,
Q,D,A,5,1,0.4,5,,,,,,
Q,D,A,6,r,0.2,1,,,,,,
Q,D,A,6,r,0.2,2,,,,,,
Q,D,A,6,r,0.2,3,,,,,,
Q,D,A,6,r,0.2,4,,,,,,
Q,D,A,6,r,0.2,5,,,,,,
Q,D,A,6,r,0.3,1,,,,,,
Q,D,A,6,r,0.3,2,,,,,,
Q,D,A,6,r,0.3,3,,,,,,
Q,D,A,6,r,0.3,4,,,,,,
Q,D,A,6,r,0.3,5,,,,,,
Q,D,A,6,r,0.4,1,,,,,,
Q,D,A,6,r,0.4,2,,,,,,
Q,D,A,6,r,0.4,3,,,,,,
Q,D,A,6,r,0.4,4,,,,,,
Q,D,A,6,r,0.4,5,,,,,,
Q,D,A,6,r2,0.2,1,,,,,,
Q,D,A,6,r2,0.2,2,,,,,,
Q,D,A,6,r2,0.2,3,,,,,,
Q,D,A,6,r2,0.2,4,,,,,,
Q,D,A,6,r2,0.2,5,,,,,,
Q,D,A,6,r2,0.3,1,,,,,,
Q,D,A,6,r2,0.3,2,,,,,,
Q,D,A,6,r2,0.3,3,,,,,,
Q,D,A,6,r2,0.3,4,,,,,,
Q,D,A,6,r2,0.3,5,,,,,,
Q,D,A,6,r2,0.4,1,,,,,,
Q,D,A,6,r2,0.4,2,,,,,,
Q,D,A,6,r2,0.4,3,,,,,,
Q,D,A,6,r2,0.4,4,,,,,,
Q,D,A,6,r2,0.4,5,,,,,,
Q,D,A,6,1,0.2,1,,,,,,
Q,D,A,6,1,0.2,2,,,,,,
Q,D,A,6,1,0.2,3,,,,,,
Q,D,A,6,1,0.2,4,,,,,,
Q,D,A,6,1,0.2,5,,,,,,
Q,D,A,6,1,0.3,1,,,,,,
Q,D,A,6,1,0.3,2,,,,,,
Q,D,A,6,1,0.3,3,,,,,,
Q,D,A,6,1,0.3,4,,,,,,
Q,D,A,6,1,0.3,5,,,,,,
Q,D,A,6,1,0.4,1,,,,,,
Q,D,A,6,1,0.4,2,,,,,,
Q,D,A,6,1,0.4,3,,,,,,
Q,D,A,6,1,0.4,4,,,,,,
Q,D,A,6,1,0.4,5,,,,,,
Q,D,A,7,r,0.2,1,,,,,,
Q,D,A,7,r,0.2,2,,,,,,
Q,D,A,7,r,0.2,3,,,,,,
Q,D,A,7,r,0.2,4,,,,,,
Q,D,A,7,r,0.2,5,,,,,,
Q,D,A,7,r,0.3,1,,,,,,
Q,D,A,7,r,0.3,2,,,,,,
Q,D,A,7,r,0.3,3,,,,,,
Q,D,A,7,r,0.3,4,,,,,,
Q,D,A,7,r,0.3,5,,,,,,
Q,D,A,7,r,0.4,1,,,,,,
Q,D,A,7,r,0.4,2,,,,,,
Q,D,A,7,r,0.4,3,,,,,,
Q,D,A,7,r,0.4,4,,,,,,
Q,D,A,7,r,0.4,5,,,,,,
Q,D,A,7,r2,0.2,1,,,,,,
Q,D,A,7,r2,0.2,2,,,,,,
Q,D,A,7,r2,0.2,3,,,,,,
Q,D,A,7,r2,0.2,4,,,,,,
Q,D,A,7,r2,0.2,5,,,,,,
Q,D,A,7,r2,0.3,1,,,,,,
Q,D,A,7,r2,0.3,2,,,,,,
Q,D,A,7,r2,0.3,3,,,,,,
Q,D,A,7,r2,0.3,4,,,,,,
Q,D,A,7,r2,0.3,5,,,,,,
Q,D,A,7,r2,0.4,1,,,,,,
Q,D,A,7,r2,0.4,2,,,,,,
Q,D,A,7,r2,0.4,3,,,,,,
Q,D,A,7,r2,0.4,4,,,,,,
Q,D,A,7,r2,0.4,5,,,,,,
Q,D,A,7,1,0.2,1,,,,,,
Q,D,A,7,1,0.2,2,,,,,,
Q,D,A,7,1,0.2,3,,,,,,
Q,D,A,7,1,0.2,4,,,,,,
Q,D,A,7,1,0.2,5,,,,,,
Q,D,A,7,1,0.3,1,,,,,,
Q,D,A,7,1,0.3,2,,,,,,
Q,D,A,7,1,0.3,3,,,,,,
Q,D,A,7,1,0.3,4,,,,,,
Q,D,A,7,1,0.3,5,,,,,,
Q,D,A,7,1,0.4,1,,,,,,
Q,D,A,7,1,0.4,2,,,,,,
Q,D,A,7,1,0.4,3,,,,,,
Q,D,A,7,1,0.4,4,,,,,,
Q,D,A,7,1,0.4,5,,,,,,
Q,D,A,8,r,0.2,1,,,,,,
Q,D,A,8,r,0.2,2,,,,,,
Q,D,A,8,r,0.2,3,,,,,,
Q,D,A,8,r,0.2,4,,,,,,
Q,D,A,8,r,0.2,5,,,,,,
Q,D,A,8,r,0.3,1,,,,,,
Q,D,A,8,r,0.3,2,,,,,,
Q,D,A,8,r,0.3,3,,,,,,
Q,D,A,8,r,0.3,4,,,,,,
Q,D,A,8,r,0.3,5,,,,,,
Q,D,A,8,r,0.4,1,,,,,,
Q,D,A,8,r,0.4,2,,,,,,
Q,D,A,8,r,0.4,3,,,,,,
Q,D,A,8,r,0.4,4,,,,,,
Q,D,A,8,r,0.4,5,,,,,,
Q,D,A,8,r2,0.2,1,,,,,,
Q,D,A,8,r2,0.2,2,,,,,,
Q,D,A,8,r2,0.2,3,,,,,,
Q,D,A,8,r2,0.2,4,,,,,,
Q,D,A,8,r2,0.2,5,,,,,,
Q,D,A,8,r2,0.3,1,,,,,,
Q,D,A,8,r2,0.3,2,,,,,,
Q,D,A,8,r2,0.3,3,,,,,,
Q,D,A,8,r2,0.3,4,,,,,,
Q,D,A,8,r2,0.3,5,,,,,,
Q,D,A,8,r2,0.4,1,,,,,,
Q,D,A,8,r2,0.4,2,,,,,,
Q,D,A,8,r2,0.4,3,,,,,,
Q,D,A,8,r2,0.4,4,,,,,,
Q,D,A,8,r2,0.4,5,,,,,,
Q,D,A,8,1,0.2,1,,,,,,
Q,D,A,8,1,0.2,2,,,,,,
Q,D,A,8,1,0.2,3,,,,,,
Q,D,A,8,1,0.2,4,,,,,,
Q,D,A,8,1,0.2,5,,,,,,
Q,D,A,8,1,0.3,1,,,,,,
Q,D,A,8,1,0.3,2,,,,,,
Q,D,A,8,1,0.3,3,,,,,,
Q,D,A,8,1,0.3,4,,,,,,
Q,D,A,8,1,0.3,5,,,,,,
Q,D,A,8,1,0.4,1,,,,,,
Q,D,A,8,1,0.4,2,,,,,,
Q,D,A,8,1,0.4,3,,,,,,
Q,D,A,8,1,0.4,4,,,,,,
Q,D,A,8,1,0.4,5,,,,,,
Q,D,A,9,r,0.2,1,,,,,,
Q,D,A,9,r,0.2,2,,,,,,
Q,D,A,9,r,0.2,3,,,,,,
Q,D,A,9,r,0.2,4,,,,,,
Q,D,A,9,r,0.2,5,,,,,,
Q,D,A,9,r,0.3,1,,,,,,
Q,D,A,9,r,0.3,2,,,,,,
Q,D,A,9,r,0.3,3,,,,,,
Q,D,A,9,r,0.3,4,,,,,,
Q,D,A,9,r,0.3,5,,,,,,
Q,D,A,9,r,0.4,1,,,,,,
Q,D,A,9,r,0.4,2,,,,,,
Q,D,A,9,r,0.4,3,,,,,,
Q,D,A,9,r,0.4,4,,,,,,
Q,D,A,9,r,0.4,5,,,,,,
Q,D,A,9,r2,0.2,1,,,,,,
Q,D,A,9,r2,0.2,2,,,,,,
Q,D,A,9,r2,0.2,3,,,,,,
Q,D,A,9,r2,0.2,4,,,,,,
Q,D,A,9,r2,0.2,5,,,,,,
Q,D,A,9,r2,0.3,1,,,,,,
Q,D,A,9,r2,0.3,2,,,,,,
Q,D,A,9,r2,0.3,3,,,,,,
Q,D,A,9,r2,0.3,4,,,,,,
Q,D,A,9,r2,0.3,5,,,,,,
Q,D,A,9,r2,0.4,1,,,,,,
Q,D,A,9,r2,0.4,2,,,,,,
Q,D,A,9,r2,0.4,3,,,,,,
Q,D,A,9,r2,0.4,4,,,,,,
Q,D,A,9,r2,0.4,5,,,,,,
Q,D,A,9,1,0.2,1,,,,,,
Q,D,A,9,1,0.2,2,,,,,,
Q,D,A,9,1,0.2,3,,,,,,
Q,D,A,9,1,0.2,4,,,,,,
Q,D,A,9,1,0.2,5,,,,,,
Q,D,A,9,1,0.3,1,,,,,,
Q,D,A,9,1,0.3,2,,,,,,
Q,D,A,9,1,0.3,3,,,,,,
Q,D,A,9,1,0.3,4,,,,,,
Q,D,A,9,1,0.3,5,,,,,,
Q,D,A,9,1,0.4,1,,,,,,
Q,D,A,9,1,0.4,2,,,,,,
Q,D,A,9,1,0.4,3,,,,,,
Q,D,A,9,1,0.4,4,,,,,,
Q,D,A,9,1,0.4,5,,,,,,
Q,D,A,10,r,0.2,1,,,,,,
Q,D,A,10,r,0.2,2,,,,,,
Q,D,A,10,r,0.2,3,,,,,,
Q,D,A,10,r,0.2,4,,,,,,
Q,D,A,10,r,0.2,5,,,,,,
Q,D,A,10,r,0.3,1,,,,,,
Q,D,A,10,r,0.3,2,,,,,,
Q,D,A,10,r,0.3,3,,,,,,
Q,D,A,10,r,0.3,4,,,,,,
Q,D,A,10,r,0.3,5,,,,,,
Q,D,A,10,r,0.4,1,,,,,,
Q,D,A,10,r,0.4,2,,,,,,
Q,D,A,10,r,0.4,3,,,,,,
Q,D,A,10,r,0.4,4,,,,,,
Q,D,A,10,r,0.4,5,,,,,,
Q,D,A,10,r2,0.2,1,,,,,,
Q,D,A,10,r2,0.2,2,,,,,,
Q,D,A,10,r2,0.2,3,,,,,,
Q,D,A,10,r2,0.2,4,,,,,,
Q,D,A,10,r2,0.2,5,,,,,,
Q,D,A,10,r2,0.3,1,,,,,,
Q,D,A,10,r2,0.3,2,,,,,,
Q,D,A,10,r2,0.3,3,,,,,,
Q,D,A,10,r2,0.3,4,,,,,,
Q,D,A,10,r2,0.3,5,,,,,,
Q,D,A,10,r2,0.4,1,,,,,,
Q,D,A,10,r2,0.4,2,,,,,,
Q,D,A,10,r2,0.4,3,,,,,,
Q,D,A,10,r2,0.4,4,,,,,,
Q,D,A,10,r2,0.4,5,,,,,,
Q,D,A,10,1,0.2,1,,,,,,
Q,D,A,10,1,0.2,2,,,,,,
Q,D,A,10,1,0.2,3,,,,,,
Q,D,A,10,1,0.2,4,,,,,,
Q,D,A,10,1,0.2,5,,,,,,
Q,D,A,10,1,0.3,1,,,,,,
Q,D,A,10,1,0.3,2,,,,,,
Q,D,A,10,1,0.3,3,,,,,,
Q,D,A,10,1,0.3,4,,,,,,
Q,D,A,10,1,0.3,5,,,,,,
Q,D,A,10,1,0.4,1,,,,,,
Q,D,A,10,1,0.4,2,,,,,,
Q,D,A,10,1,0.4,3,,,,,,
Q,D,A,10,1,0.4,4,,,,,,
Q,D,A,10,1,0.4,5,,,,,,
Q,D,A,11,r,0.2,1,,,,,,
Q,D,A,11,r,0.2,2,,,,,,
Q,D,A,11,r,0.2,3,,,,,,
Q,D,A,11,r,0.2,4,,,,,,
Q,D,A,11,r,0.2,5,,,,,,
Q,D,A,11,r,0.3,1,,,,,,
Q,D,A,11,r,0.3,2,,,,,,
Q,D,A,11,r,0.3,3,,,,,,
Q,D,A,11,r,0.3,4,,,,,,
Q,D,A,11,r,0.3,5,,,,,,
Q,D,A,11,r,0.4,1,,,,,,
Q,D,A,11,r,0.4,2,,,,,,
Q,D,A,11,r,0.4,3,,,,,,
Q,D,A,11,r,0.4,4,,,,,,
Q,D,A,11,r,0.4,5,,,,,,
Q,D,A,11,r2,0.2,1,,,,,,
Q,D,A,11,r2,0.2,2,,,,,,
Q,D,A,11,r2,0.2,3,,,,,,
Q,D,A,11,r2,0.2,4,,,,,,
Q,D,A,11,r2,0.2,5,,,,,,
Q,D,A,11,r2,0.3,1,,,,,,
Q,D,A,11,r2,0.3,2,,,,,,
Q,D,A,11,r2,0.3,3,,,,,,
Q,D,A,11,r2,0.3,4,,,,,,
Q,D,A,11,r2,0.3,5,,,,,,
Q,D,A,11,r2,0.4,1,,,,,,
Q,D,A,11,r2,0.4,2,,,,,,
Q,D,A,11,r2,0.4,3,,,,,,
Q,D,A,11,r2,0.4,4,,,,,,
Q,D,A,11,r2,0.4,5,,,,,,
Q,D,A,11,1,0.2,1,,,,,,
Q,D,A,11,1,0.2,2,,,,,,
Q,D,A,11,1,0.2,3,,,,,,
Q,D,A,11,1,0.2,4,,,,,,
Q,D,A,11,1,0.2,5,,,,,,
Q,D,A,11,1,0.3,1,,,,,,
Q,D,A,11,1,0.3,2,,,,,,
Q,D,A,11,1,0.3,3,,,,,,
Q,D,A,11,1,0.3,4,,,,,,
Q,D,A,11,1,0.3,5,,,,,,
Q,D,A,11,1,0.4,1,,,,,,
Q,D,A,11,1,0.4,2,,,,,,
Q,D,A,11,1,0.4,3,,,,,,
Q,D,A,11,1,0.4,4,,,,,,
Q,D,A,11,1,0.4,5,,,,,,
Q,D,A,12,r,0.2,1,,,,,,
Q,D,A,12,r,0.2,2,,,,,,
Q,D,A,12,r,0.2,3,,,,,,
Q,D,A,12,r,0.2,4,,,,,,
Q,D,A,12,r,0.2,5,,,,,,
Q,D,A,12,r,0.3,1,,,,,,
Q,D,A,12,r,0.3,2,,,,,,
Q,D,A,12,r,0.3,3,,,,,,
Q,D,A,12,r,0.3,4,,,,,,
Q,D,A,12,r,0.3,5,,,,,,
Q,D,A,12,r,0.4,1,,,,,,
Q,D,A,12,r,0.4,2,,,,,,
Q,D,A,12,r,0.4,3,,,,,,
Q,D,A,12,r,0.4,4,,,,,,
Q,D,A,12,r,0.4,5,,,,,,
Q,D,A,12,r2,0.2,1,,,,,,
Q,D,A,12,r2,0.2,2,,,,,,
Q,D,A,12,r2,0.2,3,,,,,,
Q,D,A,12,r2,0.2,4,,,,,,
Q,D,A,12,r2,0.2,5,,,,,,
Q,D,A,12,r2,0.3,1,,,,,,
Q,D,A,12,r2,0.3,2,,,,,,
Q,D,A,12,r2,0.3,3,,,,,,
Q,D,A,12,r2,0.3,4,,,,,,
Q,D,A,12,r2,0.3,5,,,,,,
Q,D,A,12,r2,0.4,1,,,,,,
Q,D,A,12,r2,0.4,2,,,,,,
Q,D,A,12,r2,0.4,3,,,,,,
Q,D,A,12,r2,0.4,4,,,,,,
Q,D,A,12,r2,0.4,5,,,,,,
Q,D,A,12,1,0.2,1,,,,,,
