TargetType,TargetMeth,Method,NWEEKS,r,fsval,Fold,TP,BFP,TP1,TP2,BFP1,BFP2
QS,D,A,1,r,0.2,1,,,,,,
QS,D,A,1,r,0.2,2,,,,,,
QS,D,A,1,r,0.2,3,,,,,,
QS,D,A,1,r,0.2,4,,,,,,
QS,D,A,1,r,0.2,5,,,,,,
QS,D,A,1,r,0.3,1,,,,,,
QS,D,A,1,r,0.3,2,,,,,,
QS,D,A,1,r,0.3,3,,,,,,
QS,D,A,1,r,0.3,4,,,,,,
QS,D,A,1,r,0.3,5,,,,,,
QS,D,A,1,r,0.4,1,,,,,,
QS,D,A,1,r,0.4,2,,,,,,
QS,D,A,1,r,0.4,3,,,,,,
QS,D,A,1,r,0.4,4,,,,,,
QS,D,A,1,r,0.4,5,,,,,,
QS,D,A,1,r2,0.2,1,,,,,,
QS,D,A,1,r2,0.2,2,,,,,,
QS,D,A,1,r2,0.2,3,,,,,,
QS,D,A,1,r2,0.2,4,,,,,,
QS,D,A,1,r2,0.2,5,,,,,,
QS,D,A,1,r2,0.3,1,,,,,,
QS,D,A,1,r2,0.3,2,,,,,,
QS,D,A,1,r2,0.3,3,,,,,,
QS,D,A,1,r2,0.3,4,,,,,,
QS,D,A,1,r2,0.3,5,,,,,,
QS,D,A,1,r2,0.4,1,,,,,,
QS,D,A,1,r2,0.4,2,,,,,,
QS,D,A,1,r2,0.4,3,,,,,,
QS,D,A,1,r2,0.4,4,,,,,,
QS,D,A,1,r2,0.4,5,,,,,,
QS,D,A,1,1,0.2,1,,,,,,
QS,D,A,1,1,0.2,2,,,,,,
QS,D,A,1,1,0.2,3,,,,,,
QS,D,A,1,1,0.2,4,,,,,,
QS,D,A,1,1,0.2,5,,,,,,
QS,D,A,1,1,0.3,1,,,,,,
QS,D,A,1,1,0.3,2,,,,,,
QS,D,A,1,1,0.3,3,,,,,,
QS,D,A,1,1,0.3,4,,,,,,
QS,D,A,1,1,0.3,5,,,,,,
QS,D,A,1,1,0.4,1,,,,,,
QS,D,A,1,1,0.4,2,,,,,,
QS,D,A,1,1,0.4,3,,,,,,
QS,D,A,1,1,0.4,4,,,,,,
QS,D,A,1,1,0.4,5,,,,,,
QS,D,A,2,r,0.2,1,0.4525862068965517,0.04956896551724138,0.25,0.6551724137931034,0.017241379310344827,0.08189655172413793
QS,D,A,2,r,0.2,2,0.48104265402843605,0.042654028436018954,0.2796208530805687,0.6824644549763034,0.03317535545023697,0.052132701421800945
QS,D,A,2,r,0.2,3,0.41105769230769235,0.04807692307692307,0.1778846153846154,0.6442307692307693,0.04326923076923077,0.052884615384615384
QS,D,A,2,r,0.2,4,0.44075829383886256,0.03317535545023696,0.1990521327014218,0.6824644549763034,0.018957345971563982,0.04739336492890995
QS,D,A,2,r,0.2,5,0.4583333333333333,0.039351851851851846,0.22685185185185186,0.6898148148148148,0.018518518518518517,0.06018518518518518
QS,D,A,2,r,0.3,1,,,,,,
